Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.37-157.240.195.17-51525-443-6,192.168.1.37,51525,157.240.195.17,443,6,07/07/2020 02:46:30 PM,118887809,289,275,11368.0,17817.0,206.0,0.0,39.33564013840832,45.76451055959126,1360.0,0.0,64.78909090909089,213.494728624925,245.4835381817828,4.743968323951533,211168.3996447603,875100.8714784255,5945727.0,0.0,1.18887809E8,412804.89236111124,1194108.667972897,5945727.0,95.0,1.1874916E8,433391.09489051107,1245331.330696011,6078660.0,0.0,1,0,0,0,5828,5584,2.4308632014574343,2.3131051224940986,0.0,1360.0,51.71150442477881,152.89051832721316,23375.510594363903,0,0,0,348,564,0,0,0,0.0,51.8031914893617,39.3356401384083,64.78909090909092,0,0,0,0,20,3131,0,20,0,31,508,709,197,20,0,0,0,0,1.5941296493017662E15,3.0320405589582376E7,1.5941297091475E15,1.594129590387931E15,NeedManualLabel
192.168.1.37-157.240.195.17-51841-443-6,192.168.1.37,51841,157.240.195.17,443,6,07/07/2020 02:46:35 PM,112354897,30,18,384.0,940.0,32.0,0.0,12.799999999999999,15.944732131918075,397.0,28.0,52.22222222222222,86.39618425367391,11.784088058039874,0.42721769394706494,2390529.7234042543,3875143.5446760003,1.0622493E7,64.0,1.12354897E8,3874306.793103449,4332577.454458648,1.0622493E7,128206.0,1.12219197E8,6601129.235294118,3904613.789684367,1.0712929E7,169171.0,1,0,0,0,612,360,0.26701105871691555,0.16020663523014936,0.0,397.0,27.673469387755105,56.23032535737205,3161.8494897959185,0,0,0,30,48,0,0,0,0.0,28.25,12.8,52.22222222222222,0,0,0,0,0,0,0,8,0,19,513,129,11,20,0,0,0,0,1.594129648266927E15,3.212282556993053E7,1.594129707544436E15,1.594129595321176E15,NeedManualLabel
192.168.1.37-157.240.195.35-51861-443-6,192.168.1.37,51861,157.240.195.35,443,6,07/07/2020 02:46:35 PM,109429565,469,437,165815.0,311691.0,1400.0,0.0,353.5501066098077,526.8470440718166,1360.0,0.0,713.2517162471393,638.3490394185886,4363.5922339634635,8.279298195144978,120916.64640883975,751270.9451602917,1.4214455E7,1.0,1.09429565E8,233823.85683760673,1033188.3329477136,1.4214455E7,8.0,1.09321772E8,250738.00917431174,1087501.794333323,1.4323413E7,1.0,1,0,0,0,10124,8788,4.285861869230678,3.9934363259142995,0.0,1400.0,526.8588754134508,609.7677351899212,371816.6908786458,0,0,0,297,906,0,0,0,0.0,527.4403973509934,353.5501066098081,713.2517162471396,0,0,0,0,23,18182,0,183,0,344,510,2204,213,20,0,0,0,0,1.594129646024754E15,3.099358177490898E7,1.594129704643399E15,1.594129595256669E15,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,07/07/2020 02:46:37 PM,105501934,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12322048996751092,8791827.833333332,1.0892136210758073E7,2.7119952E7,18.0,1.05501934E8,8791827.833333332,1.0892136210758073E7,2.7119952E7,18.0,0,0,0,0,0,0,0,0,0,0,0,0.12322048996751092,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5941296405373662E15,3.537422349837261E7,1.594129703106646E15,1.594129597604964E15,NeedManualLabel
192.168.1.37-157.240.195.15-51881-443-6,192.168.1.37,51881,157.240.195.15,443,6,07/07/2020 02:46:37 PM,80089919,55,82,2698.0,58842.0,517.0,0.0,49.05454545454544,104.86065148069713,1360.0,0.0,717.5853658536583,617.34687112625,768.3863433548985,1.7105773324605311,588896.4632352943,4297614.172873989,3.9877382E7,0.0,8.0089919E7,1483146.6481481476,6765427.339613213,3.9877382E7,32.0,8.0023342E7,987942.4938271606,5558812.272572717,3.9943832E7,0.0,0,0,0,0,1148,1652,0.6867281261702862,1.023849206290245,0.0,1360.0,445.9420289855069,581.8263187824782,338521.86522797,0,2,0,41,136,0,0,0,1.0,449.1970802919708,49.054545454545455,717.5853658536586,0,0,0,0,23,102547,0,19,0,429,64240,152,16,20,0,0,0,0,1.5941296214481815E15,2.623608829862426E7,1.594129677104037E15,1.594129597014341E15,NeedManualLabel
192.168.1.37-157.240.196.15-51885-443-6,192.168.1.37,51885,157.240.196.15,443,6,07/07/2020 02:48:51 PM,18575821,2,2,1.0,39.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,27.577164466275352,2.15333685655132,0.215333685655132,6191940.333333334,1.0666475760032285E7,1.8508465E7,208.0,1.8575821E7,1.8575821E7,0.0,1.8575821E7,1.8575821E7,1.8508465E7,1.8508465E7,0.0,1.8508465E7,1.8508465E7,0,0,0,0,40,40,0.107666842827566,0.107666842827566,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,1.0,10.25,0.5,19.5,0,0,0,0,0,0,0,0,0,9,514,131,0,20,0,0,0,0,1.594129749669632E15,0.0,1.594129749669632E15,1.594129749669632E15,NeedManualLabel
192.168.1.37-157.240.196.9-51884-443-6,192.168.1.37,51884,157.240.196.9,443,6,07/07/2020 02:48:53 PM,19254689,2,2,1.0,39.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,27.577164466275352,2.0774160517471874,0.20774160517471876,6418229.666666666,1.1056509349877128E7,1.9185125E7,334.0,1.9254689E7,1.9254689E7,0.0,1.9254689E7,1.9254689E7,1.9185125E7,1.9185125E7,0.0,1.9185125E7,1.9185125E7,0,0,0,0,40,40,0.10387080258735938,0.10387080258735938,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,1.0,10.25,0.5,19.5,0,0,0,0,0,0,0,0,0,9,514,241,0,20,0,0,0,0,1.594129753049297E15,0.0,1.594129753049297E15,1.594129753049297E15,NeedManualLabel
192.168.1.37-157.240.195.15-51881-443-6,192.168.1.37,51881,157.240.195.15,443,6,07/07/2020 02:49:24 PM,19990396,1,3,1.0,39.0,1.0,1.0,1.0,0.0,39.0,0.0,13.0,22.516660498395403,2.000960861405647,0.2000960861405647,6663465.333333334,1.1488005901746845E7,1.9928624E7,3.0,0,0,0,0,0,1.9928627E7,9964313.5,1.4091663048796635E7,1.9928624E7,3.0,0,0,0,0,20,60,0.050024021535141176,0.15007206460542352,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,3.0,10.25,1.0,13.0,0,0,0,0,0,0,0,0,0,9,513,156,0,20,0,0,0,0,1.59412978446324E15,0.0,1.59412978446324E15,1.59412978446324E15,NeedManualLabel
192.168.1.37-157.240.195.15-51881-443-6,192.168.1.37,51881,157.240.195.15,443,6,07/07/2020 02:49:44 PM,3162,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,632.5110689437065,3162.0,0.0,3162.0,3162.0,3162.0,3162.0,0.0,3162.0,3162.0,0,0,0,0,0,0,0,0,0,40,0,632.5110689437065,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,513,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
