Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.37-157.240.196.15-51842-443-6,192.168.1.37,51842,157.240.196.15,443,6,07/07/2020 02:44:01 PM,18733332,2,2,1.0,39.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,27.577164466275352,2.1352314686997484,0.21352314686997487,6244444.0,1.0761467534407934E7,1.8670668E7,1310.0,1.8733332E7,1.8733332E7,0.0,1.8733332E7,1.8733332E7,1.8670668E7,1.8670668E7,0.0,1.8670668E7,1.8670668E7,0,0,0,0,40,40,0.10676157343498743,0.10676157343498743,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,1.0,10.25,0.5,19.5,0,0,0,0,0,0,0,0,0,9,513,164,0,20,0,0,0,0,1.594129460569266E15,0.0,1.594129460569266E15,1.594129460569266E15,NeedManualLabel
192.168.1.37-157.240.195.15-51834-443-6,192.168.1.37,51834,157.240.195.15,443,6,07/07/2020 02:44:04 PM,16832875,2,2,1.0,39.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,27.577164466275352,2.376302325063306,0.23763023250633059,5610958.333333334,9660188.173828516,1.6765516E7,243.0,1.6832875E7,1.6832875E7,0.0,1.6832875E7,1.6832875E7,1.6765516E7,1.6765516E7,0.0,1.6765516E7,1.6765516E7,0,0,0,0,40,40,0.11881511625316529,0.11881511625316529,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,1.0,10.25,0.5,19.5,0,0,0,0,0,0,0,0,0,9,514,302,0,20,0,0,0,0,1.594129460902081E15,0.0,1.594129460902081E15,1.594129460902081E15,NeedManualLabel
192.168.1.37-157.240.195.36-51844-443-6,192.168.1.37,51844,157.240.195.36,443,6,07/07/2020 02:44:02 PM,19940830,2,2,1.0,39.0,1.0,0.0,0.5,0.7071067811865476,39.0,0.0,19.5,27.577164466275352,2.0059345573880325,0.20059345573880327,6646943.333333334,1.145673833660158E7,1.9875993E7,216.0,1.994083E7,1.994083E7,0.0,1.994083E7,1.994083E7,1.9875993E7,1.9875993E7,0.0,1.9875993E7,1.9875993E7,0,0,0,0,40,40,0.10029672786940164,0.10029672786940164,0.0,39.0,8.2,17.224981857755324,296.70000000000005,1,0,0,1,4,0,0,0,1.0,10.25,0.5,19.5,0,0,0,0,0,0,0,0,0,9,512,218,0,20,0,0,0,0,1.594129462175575E15,0.0,1.594129462175575E15,1.594129462175575E15,NeedManualLabel
192.168.1.37-157.240.196.9-51860-443-6,192.168.1.37,51860,157.240.196.9,443,6,07/07/2020 02:45:00 PM,8709117,233,380,4900.0,468151.0,602.0,0.0,21.03004291845494,88.8600893137238,1360.0,0.0,1231.9763157894738,372.27408827241214,54316.75794457692,70.38601043021927,14230.583333333327,222019.96787884712,5397351.0,0.0,8709117.0,37539.2974137931,360522.5479180799,5397351.0,32.0,8043822.0,21223.804749340343,283938.9383129021,5466334.0,0.0,0,0,0,0,5636,7612,26.753573295662463,43.6324371345568,0.0,1360.0,770.441368078176,659.6660895769666,435159.34973776643,1,2,0,38,612,0,0,0,1.0,771.6982055464927,21.030042918454935,1231.9763157894736,0,0,0,0,195,178786,0,7,0,763,64240,166,15,20,0,0,0,0,1.594129507530957E15,2388514.656593244,1.594129508772023E15,1.594129500656469E15,NeedManualLabel
192.168.1.37-157.240.195.15-51838-443-6,192.168.1.37,51838,157.240.195.15,443,6,07/07/2020 02:44:00 PM,69280589,26,40,1166.0,24296.0,199.0,0.0,44.84615384615385,76.97827865453594,1343.0,0.0,607.3999999999999,592.9861329290542,367.5199701318936,0.9526477899891987,1065855.2153846151,5850413.287501664,3.4281773E7,0.0,6.9280589E7,2771223.5600000005,9292475.289725281,3.4281773E7,103.0,3.6257439E7,929677.9230769229,5499929.273341276,3.4350943E7,0.0,0,0,0,0,520,800,0.375285493026048,0.5773622969631508,0.0,1343.0,380.0447761194029,536.4644762967612,287794.1343283582,1,0,0,22,66,0,0,0,1.0,385.8030303030303,44.84615384615385,607.4,0,0,0,0,15,78851,0,17,0,368,513,646,8,20,0,0,0,0,1.5692211970453642E15,1.992661795667437E14,1.594129476408606E15,3.2957261E7,NeedManualLabel
192.168.1.37-157.240.195.35-51521-443-6,192.168.1.37,51521,157.240.195.35,443,6,07/07/2020 02:44:00 PM,69151287,506,622,123446.0,431893.0,1360.0,0.0,243.96442687747043,462.49510430308817,1349.0,0.0,694.3617363344055,540.523828367195,8030.7832882416205,16.312060829757225,61358.728482697494,583368.6395831243,1.6041309E7,0.0,6.9151287E7,136933.2415841584,866451.634276868,1.6041309E7,8.0,6.813869E7,109724.13848631225,793947.8986188009,1.6148155E7,0.0,1,0,0,0,12260,12476,7.317289698454926,8.9947711313023,0.0,1360.0,492.47829937998205,553.9090242965041,306815.20719710516,1,0,0,329,1128,0,0,0,1.0,492.9148936170213,243.96442687747034,694.3617363344051,0,0,0,0,46,23458,0,109,0,382,513,2043,163,20,0,0,0,0,1.5941294838740792E15,1.6865292686107583E7,1.594129508414225E15,1.594129440215612E15,NeedManualLabel
192.168.1.37-157.240.196.15-51855-443-6,192.168.1.37,51855,157.240.196.15,443,6,07/07/2020 02:44:26 PM,42415011,113,168,3532.0,182150.0,534.0,0.0,31.25663716814159,98.77651350768184,1360.0,0.0,1084.2261904761906,519.3476066715436,4377.742587406143,6.625013017207516,151482.1821428572,1441604.251099664,2.1762694E7,0.0,4.2415011E7,378705.4553571427,2268477.995900009,2.1762694E7,51.0,3.438248E7,205883.11377245496,1772871.0086794363,2.1870792E7,0.0,0,0,0,0,3056,3372,2.6641511421510655,3.9608618750564513,0.0,1360.0,658.4468085106387,657.4966102834765,432301.79253426177,1,2,0,35,280,0,0,0,1.0,660.7900355871886,31.256637168141594,1084.2261904761904,0,0,0,0,44,66539,0,12,0,648,64240,152,14,20,0,0,0,0,1.5884157667635488E15,9.543803584699766E13,1.594129501394119E15,7972383.0,NeedManualLabel
192.168.1.37-157.240.195.15-51856-443-6,192.168.1.37,51856,157.240.195.15,443,6,07/07/2020 02:44:27 PM,42260159,202,274,5822.0,283483.0,534.0,0.0,28.821782178217806,89.90679485991126,1360.0,0.0,1034.6094890510944,542.3952886414087,6845.8095484212445,11.263563868749287,88968.75578947368,946941.843933342,1.7619967E7,0.0,4.2260159E7,210249.5472636815,1449775.34951284,1.7619967E7,31.0,3.4816096E7,127531.48717948729,1176060.2579388616,1.7727061E7,0.0,0,0,0,0,6940,5492,4.779915759427218,6.483648109322068,0.0,1360.0,606.509433962264,648.0985653710579,420031.7504360235,1,2,0,73,475,0,0,0,1.0,607.7836134453781,28.821782178217823,1034.609489051095,0,0,0,0,59,78216,0,12,0,595,64240,181,25,20,0,0,0,0,1.59076634799366E15,7.322079217130545E13,1.594129501993137E15,7373561.0,NeedManualLabel
